,EquipGrp,Grade,GradeT,DisplayStat,StatT,Chance,Duration,MinLvl,MaxLvl,StatValue
64,Hat,Rare,Non prime,DEF,Flat,1.0,0,21,30,15
65,Hat,Rare,Non prime,DEF,Flat,1.0,0,31,40,20
66,Hat,Rare,Non prime,DEF,Flat,1.0,0,41,50,25
67,Hat,Rare,Non prime,DEF,Flat,1.0,0,51,60,30
68,Hat,Rare,Non prime,DEF,Flat,1.0,0,61,70,35
69,Hat,Rare,Non prime,DEF,Flat,1.0,0,71,80,40
70,Hat,Rare,Non prime,DEF,Flat,1.0,0,81,90,45
71,Hat,Rare,Non prime,DEF,Flat,1.0,0,91,100,50
72,Hat,Rare,Non prime,DEF,Flat,1.0,0,101,110,55
73,Hat,Rare,Non prime,DEF,Flat,1.0,0,111,300,60
74,Hat,Rare,Prime,STR,Flat,1.0,0,0,20,2
75,Hat,Rare,Prime,STR,Flat,1.0,0,21,50,4
76,Hat,Rare,Prime,STR,Flat,1.0,0,51,70,6
77,Hat,Rare,Prime,STR,Flat,1.0,0,71,90,8
78,Hat,Rare,Prime,STR,Flat,1.0,0,91,300,10
79,Hat,Rare,Prime,DEX,Flat,1.0,0,0,20,2
80,Hat,Rare,Prime,DEX,Flat,1.0,0,21,50,4
81,Hat,Rare,Prime,DEX,Flat,1.0,0,51,70,6
82,Hat,Rare,Prime,DEX,Flat,1.0,0,71,90,8
83,Hat,Rare,Prime,DEX,Flat,1.0,0,91,300,10
84,Hat,Rare,Prime,INT,Flat,1.0,0,0,20,2
85,Hat,Rare,Prime,INT,Flat,1.0,0,21,50,4
86,Hat,Rare,Prime,INT,Flat,1.0,0,51,70,6
87,Hat,Rare,Prime,INT,Flat,1.0,0,71,90,8
88,Hat,Rare,Prime,INT,Flat,1.0,0,91,300,10
89,Hat,Rare,Prime,LUK,Flat,1.0,0,0,20,2
90,Hat,Rare,Prime,LUK,Flat,1.0,0,21,50,4
91,Hat,Rare,Prime,LUK,Flat,1.0,0,51,70,6
92,Hat,Rare,Prime,LUK,Flat,1.0,0,71,90,8
93,Hat,Rare,Prime,LUK,Flat,1.0,0,91,300,10
94,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,0,20,1
95,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,21,40,2
96,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,41,60,4
97,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,61,80,6
98,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,81,90,8
99,Hat,Rare,Prime,Weapon ATT,Flat,1.0,0,91,300,10
100,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,0,20,1
101,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,21,40,2
102,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,41,60,4
103,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,61,80,6
104,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,81,90,8
105,Hat,Rare,Prime,Magic ATT,Flat,1.0,0,91,300,10
106,Hat,Rare,Prime,MaxHP,Flat,1.0,0,0,20,10
107,Hat,Rare,Prime,MaxHP,Flat,1.0,0,21,50,15
108,Hat,Rare,Prime,MaxHP,Flat,1.0,0,51,90,50
109,Hat,Rare,Prime,MaxHP,Flat,1.0,0,91,300,100
110,Hat,Rare,Prime,MaxMP,Flat,1.0,0,0,20,10
111,Hat,Rare,Prime,MaxMP,Flat,1.0,0,21,50,15
112,Hat,Rare,Prime,MaxMP,Flat,1.0,0,51,90,50
113,Hat,Rare,Prime,MaxMP,Flat,1.0,0,91,300,100
114,Hat,Rare,Prime,DEF,Flat,1.0,0,0,20,10
115,Hat,Rare,Prime,DEF,Flat,1.0,0,21,50,15
116,Hat,Rare,Prime,DEF,Flat,1.0,0,51,90,50
117,Hat,Rare,Prime,DEF,Flat,1.0,0,91,300,100
118,Hat,Rare,Prime,Speed,Flat,1.0,0,0,20,2
119,Hat,Rare,Prime,Speed,Flat,1.0,0,21,50,3
120,Hat,Rare,Prime,Speed,Flat,1.0,0,51,80,4
121,Hat,Rare,Prime,Speed,Flat,1.0,0,81,110,5
122,Hat,Rare,Prime,Speed,Flat,1.0,0,111,300,6
123,Hat,Rare,Prime,Jump,Flat,1.0,0,0,20,2
124,Hat,Rare,Prime,Jump,Flat,1.0,0,21,50,3
125,Hat,Rare,Prime,Jump,Flat,1.0,0,51,80,4
126,Hat,Rare,Prime,Jump,Flat,1.0,0,81,110,5
127,Hat,Rare,Prime,Jump,Flat,1.0,0,111,300,6
128,Hat,Rare,Prime,STR%,Perc,1.0,0,0,90,1%
129,Hat,Rare,Prime,STR%,Perc,1.0,0,91,300,2%
130,Hat,Rare,Prime,DEX%,Perc,1.0,0,0,90,1%
131,Hat,Rare,Prime,DEX%,Perc,1.0,0,91,300,2%
132,Hat,Rare,Prime,INT%,Perc,1.0,0,0,90,1%
133,Hat,Rare,Prime,INT%,Perc,1.0,0,91,300,2%
134,Hat,Rare,Prime,LUK%,Perc,1.0,0,0,90,1%
135,Hat,Rare,Prime,LUK%,Perc,1.0,0,91,300,2%
136,Hat,Rare,Prime,DEF%,Perc,1.0,0,0,90,1%
137,Hat,Rare,Prime,DEF%,Perc,1.0,0,91,300,2%
138,Hat,Rare,Prime,MaxHP%,Perc,1.0,0,0,90,1%
139,Hat,Rare,Prime,MaxHP%,Perc,1.0,0,91,300,2%
140,Hat,Rare,Prime,MaxMP%,Perc,1.0,0,0,90,1%
141,Hat,Rare,Prime,MaxMP%,Perc,1.0,0,91,300,2%
142,Hat,Rare,Prime,All Stats,Flat,1.0,0,0,50,1
143,Hat,Rare,Prime,All Stats,Flat,1.0,0,51,90,2
144,Hat,Rare,Prime,All Stats,Flat,1.0,0,91,300,3
145,Hat,Epic,Prime,STR,Flat,1.0,0,0,20,4
146,Hat,Epic,Prime,STR,Flat,1.0,0,21,40,6
147,Hat,Epic,Prime,STR,Flat,1.0,0,41,50,8
148,Hat,Epic,Prime,STR,Flat,1.0,0,51,70,10
149,Hat,Epic,Prime,STR,Flat,1.0,0,71,90,12
150,Hat,Epic,Prime,STR,Flat,1.0,0,91,300,14
151,Hat,Epic,Prime,DEX,Flat,1.0,0,0,20,4
152,Hat,Epic,Prime,DEX,Flat,1.0,0,21,40,6
153,Hat,Epic,Prime,DEX,Flat,1.0,0,41,50,8
154,Hat,Epic,Prime,DEX,Flat,1.0,0,51,70,10
155,Hat,Epic,Prime,DEX,Flat,1.0,0,71,90,12
156,Hat,Epic,Prime,DEX,Flat,1.0,0,91,300,14
157,Hat,Epic,Prime,INT,Flat,1.0,0,0,20,4
158,Hat,Epic,Prime,INT,Flat,1.0,0,21,40,6
159,Hat,Epic,Prime,INT,Flat,1.0,0,41,50,8
160,Hat,Epic,Prime,INT,Flat,1.0,0,51,70,10
161,Hat,Epic,Prime,INT,Flat,1.0,0,71,90,12
162,Hat,Epic,Prime,INT,Flat,1.0,0,91,300,14
163,Hat,Epic,Prime,LUK,Flat,1.0,0,0,20,4
164,Hat,Epic,Prime,LUK,Flat,1.0,0,21,40,6
165,Hat,Epic,Prime,LUK,Flat,1.0,0,41,50,8
166,Hat,Epic,Prime,LUK,Flat,1.0,0,51,70,10
167,Hat,Epic,Prime,LUK,Flat,1.0,0,71,90,12
168,Hat,Epic,Prime,LUK,Flat,1.0,0,91,300,14
169,Hat,Epic,Prime,Weapon ATT,Flat,1.0,0,0,20,4
170,Hat,Epic,Prime,Weapon ATT,Flat,1.0,0,21,50,6
171,Hat,Epic,Prime,Weapon ATT,Flat,1.0,0,51,90,8
172,Hat,Epic,Prime,Weapon ATT,Flat,1.0,0,91,300,11
173,Hat,Epic,Prime,Magic ATT,Flat,1.0,0,0,20,4
174,Hat,Epic,Prime,Magic ATT,Flat,1.0,0,21,50,6
175,Hat,Epic,Prime,Magic ATT,Flat,1.0,0,51,90,8
176,Hat,Epic,Prime,Magic ATT,Flat,1.0,0,91,300,11
177,Hat,Epic,Prime,MaxHP,Flat,1.0,0,0,10,15
178,Hat,Epic,Prime,MaxHP,Flat,1.0,0,11,20,30
179,Hat,Epic,Prime,MaxHP,Flat,1.0,0,21,30,45
180,Hat,Epic,Prime,MaxHP,Flat,1.0,0,31,40,60
181,Hat,Epic,Prime,MaxHP,Flat,1.0,0,41,50,75
182,Hat,Epic,Prime,MaxHP,Flat,1.0,0,51,60,90
183,Hat,Epic,Prime,MaxHP,Flat,1.0,0,61,70,105
184,Hat,Epic,Prime,MaxHP,Flat,1.0,0,71,80,120
185,Hat,Epic,Prime,MaxHP,Flat,1.0,0,81,90,135
186,Hat,Epic,Prime,MaxHP,Flat,1.0,0,91,100,150
187,Hat,Epic,Prime,MaxHP,Flat,1.0,0,101,110,165
188,Hat,Epic,Prime,MaxHP,Flat,1.0,0,111,300,180
189,Hat,Epic,Prime,MaxMP,Flat,1.0,0,0,10,15
190,Hat,Epic,Prime,MaxMP,Flat,1.0,0,11,20,30
191,Hat,Epic,Prime,MaxMP,Flat,1.0,0,21,30,45
192,Hat,Epic,Prime,MaxMP,Flat,1.0,0,31,40,60
193,Hat,Epic,Prime,MaxMP,Flat,1.0,0,41,50,75
194,Hat,Epic,Prime,MaxMP,Flat,1.0,0,51,60,90
195,Hat,Epic,Prime,MaxMP,Flat,1.0,0,61,70,105
196,Hat,Epic,Prime,MaxMP,Flat,1.0,0,71,80,120
197,Hat,Epic,Prime,MaxMP,Flat,1.0,0,81,90,135
198,Hat,Epic,Prime,MaxMP,Flat,1.0,0,91,100,150
199,Hat,Epic,Prime,MaxMP,Flat,1.0,0,101,110,165
200,Hat,Epic,Prime,MaxMP,Flat,1.0,0,111,300,180
201,Hat,Epic,Prime,DEF,Flat,1.0,0,0,20,15
202,Hat,Epic,Prime,DEF,Flat,1.0,0,21,50,20
203,Hat,Epic,Prime,DEF,Flat,1.0,0,51,90,60
204,Hat,Epic,Prime,DEF,Flat,1.0,0,91,300,120
205,Hat,Epic,Prime,Speed,Flat,1.0,0,0,30,4
206,Hat,Epic,Prime,Speed,Flat,1.0,0,31,110,6
207,Hat,Epic,Prime,Speed,Flat,1.0,0,111,300,8
208,Hat,Epic,Prime,Jump,Flat,1.0,0,0,30,4
209,Hat,Epic,Prime,Jump,Flat,1.0,0,31,110,6
210,Hat,Epic,Prime,Jump,Flat,1.0,0,111,300,8
211,Hat,Epic,Prime,STR%,Perc,1.0,0,0,20,1%
212,Hat,Epic,Prime,STR%,Perc,1.0,0,21,50,2%
213,Hat,Epic,Prime,STR%,Perc,1.0,0,51,90,3%
214,Hat,Epic,Prime,STR%,Perc,1.0,0,91,300,4%
215,Hat,Epic,Prime,DEX%,Perc,1.0,0,0,20,1%
216,Hat,Epic,Prime,DEX%,Perc,1.0,0,21,50,2%
217,Hat,Epic,Prime,DEX%,Perc,1.0,0,51,90,3%
218,Hat,Epic,Prime,DEX%,Perc,1.0,0,91,300,4%
219,Hat,Epic,Prime,INT%,Perc,1.0,0,0,20,1%
220,Hat,Epic,Prime,INT%,Perc,1.0,0,21,50,2%
221,Hat,Epic,Prime,INT%,Perc,1.0,0,51,90,3%
222,Hat,Epic,Prime,INT%,Perc,1.0,0,91,300,4%
223,Hat,Epic,Prime,LUK%,Perc,1.0,0,0,20,1%
224,Hat,Epic,Prime,LUK%,Perc,1.0,0,21,50,2%
225,Hat,Epic,Prime,LUK%,Perc,1.0,0,51,90,3%
226,Hat,Epic,Prime,LUK%,Perc,1.0,0,91,300,4%
227,Hat,Epic,Prime,MaxHP%,Perc,1.0,0,0,20,1%
228,Hat,Epic,Prime,MaxHP%,Perc,1.0,0,21,50,2%
229,Hat,Epic,Prime,MaxHP%,Perc,1.0,0,51,90,3%
230,Hat,Epic,Prime,MaxHP%,Perc,1.0,0,91,300,5%
231,Hat,Epic,Prime,MaxMP%,Perc,1.0,0,0,20,1%
232,Hat,Epic,Prime,MaxMP%,Perc,1.0,0,21,50,2%
233,Hat,Epic,Prime,MaxMP%,Perc,1.0,0,51,90,3%
234,Hat,Epic,Prime,MaxMP%,Perc,1.0,0,91,300,5%
235,Hat,Epic,Prime,DEF%,Perc,1.0,0,0,30,1%
236,Hat,Epic,Prime,DEF%,Perc,1.0,0,31,70,2%
237,Hat,Epic,Prime,DEF%,Perc,1.0,0,71,300,4%
238,Hat,Epic,Prime,All Stats%,Perc,1.0,0,0,90,1%
239,Hat,Epic,Prime,All Stats%,Perc,1.0,0,91,300,2%
240,Hat,Unique,Prime,STR,Flat,1.0,0,0,20,8
241,Hat,Unique,Prime,STR,Flat,1.0,0,21,50,10
242,Hat,Unique,Prime,STR,Flat,1.0,0,51,70,12
243,Hat,Unique,Prime,STR,Flat,1.0,0,71,90,14
244,Hat,Unique,Prime,STR,Flat,1.0,0,91,300,16
245,Hat,Unique,Prime,DEX,Flat,1.0,0,0,20,8
246,Hat,Unique,Prime,DEX,Flat,1.0,0,21,50,10
247,Hat,Unique,Prime,DEX,Flat,1.0,0,51,70,12
248,Hat,Unique,Prime,DEX,Flat,1.0,0,71,90,14
249,Hat,Unique,Prime,DEX,Flat,1.0,0,91,300,16
250,Hat,Unique,Prime,INT,Flat,1.0,0,0,20,8
251,Hat,Unique,Prime,INT,Flat,1.0,0,21,50,10
252,Hat,Unique,Prime,INT,Flat,1.0,0,51,70,12
253,Hat,Unique,Prime,INT,Flat,1.0,0,71,90,14
254,Hat,Unique,Prime,INT,Flat,1.0,0,91,300,16
255,Hat,Unique,Prime,LUK,Flat,1.0,0,0,20,8
256,Hat,Unique,Prime,LUK,Flat,1.0,0,21,50,10
257,Hat,Unique,Prime,LUK,Flat,1.0,0,51,70,12
258,Hat,Unique,Prime,LUK,Flat,1.0,0,71,90,14
259,Hat,Unique,Prime,LUK,Flat,1.0,0,91,300,16
260,Hat,Unique,Prime,Weapon ATT,Flat,1.0,0,0,20,6
261,Hat,Unique,Prime,Weapon ATT,Flat,1.0,0,21,50,8
262,Hat,Unique,Prime,Weapon ATT,Flat,1.0,0,51,90,10
263,Hat,Unique,Prime,Weapon ATT,Flat,1.0,0,91,300,12
264,Hat,Unique,Prime,Magic ATT,Flat,1.0,0,0,20,6
265,Hat,Unique,Prime,Magic ATT,Flat,1.0,0,21,50,8
266,Hat,Unique,Prime,Magic ATT,Flat,1.0,0,51,90,10
267,Hat,Unique,Prime,Magic ATT,Flat,1.0,0,91,300,12
268,Hat,Unique,Prime,DEF,Flat,1.0,0,0,20,15
269,Hat,Unique,Prime,DEF,Flat,1.0,0,21,50,30
270,Hat,Unique,Prime,DEF,Flat,1.0,0,51,90,80
271,Hat,Unique,Prime,DEF,Flat,1.0,0,91,300,150
272,Hat,Unique,Prime,MaxHP,Flat,1.0,0,0,10,20
273,Hat,Unique,Prime,MaxHP,Flat,1.0,0,11,20,40
274,Hat,Unique,Prime,MaxHP,Flat,1.0,0,21,30,60
275,Hat,Unique,Prime,MaxHP,Flat,1.0,0,31,40,80
276,Hat,Unique,Prime,MaxHP,Flat,1.0,0,41,50,100
277,Hat,Unique,Prime,MaxHP,Flat,1.0,0,51,60,120
278,Hat,Unique,Prime,MaxHP,Flat,1.0,0,61,70,140
279,Hat,Unique,Prime,MaxHP,Flat,1.0,0,71,80,160
280,Hat,Unique,Prime,MaxHP,Flat,1.0,0,81,90,180
281,Hat,Unique,Prime,MaxHP,Flat,1.0,0,91,100,200
282,Hat,Unique,Prime,MaxHP,Flat,1.0,0,101,110,220
283,Hat,Unique,Prime,MaxHP,Flat,1.0,0,111,300,240
284,Hat,Unique,Prime,MaxMP,Flat,1.0,0,0,10,20
285,Hat,Unique,Prime,MaxMP,Flat,1.0,0,11,20,40
286,Hat,Unique,Prime,MaxMP,Flat,1.0,0,21,30,60
287,Hat,Unique,Prime,MaxMP,Flat,1.0,0,31,40,80
288,Hat,Unique,Prime,MaxMP,Flat,1.0,0,41,50,100
289,Hat,Unique,Prime,MaxMP,Flat,1.0,0,51,60,120
290,Hat,Unique,Prime,MaxMP,Flat,1.0,0,61,70,140
291,Hat,Unique,Prime,MaxMP,Flat,1.0,0,71,80,160
292,Hat,Unique,Prime,MaxMP,Flat,1.0,0,81,90,180
293,Hat,Unique,Prime,MaxMP,Flat,1.0,0,91,100,200
294,Hat,Unique,Prime,MaxMP,Flat,1.0,0,101,110,220
295,Hat,Unique,Prime,MaxMP,Flat,1.0,0,111,300,240
296,Hat,Unique,Prime,STR%,Perc,1.0,0,0,20,2%
297,Hat,Unique,Prime,STR%,Perc,1.0,0,21,50,3%
298,Hat,Unique,Prime,STR%,Perc,1.0,0,51,90,4%
299,Hat,Unique,Prime,STR%,Perc,1.0,0,91,300,5%
300,Hat,Unique,Prime,DEX%,Perc,1.0,0,0,20,2%
301,Hat,Unique,Prime,DEX%,Perc,1.0,0,21,50,3%
302,Hat,Unique,Prime,DEX%,Perc,1.0,0,51,90,4%
303,Hat,Unique,Prime,DEX%,Perc,1.0,0,91,300,5%
304,Hat,Unique,Prime,INT%,Perc,1.0,0,0,20,2%
305,Hat,Unique,Prime,INT%,Perc,1.0,0,21,50,3%
306,Hat,Unique,Prime,INT%,Perc,1.0,0,51,90,4%
307,Hat,Unique,Prime,INT%,Perc,1.0,0,91,300,5%
308,Hat,Unique,Prime,LUK%,Perc,1.0,0,0,20,2%
309,Hat,Unique,Prime,LUK%,Perc,1.0,0,21,50,3%
310,Hat,Unique,Prime,LUK%,Perc,1.0,0,51,90,4%
311,Hat,Unique,Prime,LUK%,Perc,1.0,0,91,300,5%
312,Hat,Unique,Prime,MaxHP%,Perc,1.0,0,0,20,2%
313,Hat,Unique,Prime,MaxHP%,Perc,1.0,0,21,50,3%
314,Hat,Unique,Prime,MaxHP%,Perc,1.0,0,51,90,5%
315,Hat,Unique,Prime,MaxHP%,Perc,1.0,0,91,300,7%
316,Hat,Unique,Prime,MaxMP%,Perc,1.0,0,0,20,2%
317,Hat,Unique,Prime,MaxMP%,Perc,1.0,0,21,50,3%
318,Hat,Unique,Prime,MaxMP%,Perc,1.0,0,51,90,5%
319,Hat,Unique,Prime,MaxMP%,Perc,1.0,0,91,300,7%
320,Hat,Unique,Prime,DEF%,Perc,1.0,0,0,20,2%
321,Hat,Unique,Prime,DEF%,Perc,1.0,0,21,50,3%
322,Hat,Unique,Prime,DEF%,Perc,1.0,0,51,90,5%
323,Hat,Unique,Prime,DEF%,Perc,1.0,0,91,300,7%
324,Hat,Unique,Prime,All Stats%,Perc,1.0,0,0,20,1%
325,Hat,Unique,Prime,All Stats%,Perc,1.0,0,21,50,2%
326,Hat,Unique,Prime,All Stats%,Perc,1.0,0,51,90,3%
327,Hat,Unique,Prime,All Stats%,Perc,1.0,0,91,300,4%
328,Hat,Unique,Prime,Skills and Potion HP Recovery,Flat,1.0,0,0,20,5%
329,Hat,Unique,Prime,Skills and Potion HP Recovery,Flat,1.0,0,21,50,10%
330,Hat,Unique,Prime,Skills and Potion HP Recovery,Flat,1.0,0,51,90,15%
331,Hat,Unique,Prime,Skills and Potion HP Recovery,Flat,1.0,0,91,300,20%
332,Hat,Unique,Prime,STR +1 per 10 Character Levels,Flat,1.0,0, 30 ,300,0
333,Hat,Unique,Prime,DEX +1 per 10 Character Levels,Flat,1.0,0, 30 ,300,0
334,Hat,Unique,Prime,INT +1 per 10 Character Levels,Flat,1.0,0, 30 ,300,0
335,Hat,Unique,Prime,LUK +1 per 10 Character Levels,Flat,1.0,0, 30 ,300,0
336,Hat,Legendary,Prime,STR,Flat,1.0,0,0,20,8
337,Hat,Legendary,Prime,STR,Flat,1.0,0,21,40,10
338,Hat,Legendary,Prime,STR,Flat,1.0,0,41,50,12
339,Hat,Legendary,Prime,STR,Flat,1.0,0,51,70,14
340,Hat,Legendary,Prime,STR,Flat,1.0,0,71,90,16
341,Hat,Legendary,Prime,STR,Flat,1.0,0,91,300,18
342,Hat,Legendary,Prime,DEX,Flat,1.0,0,0,20,8
343,Hat,Legendary,Prime,DEX,Flat,1.0,0,21,40,10
344,Hat,Legendary,Prime,DEX,Flat,1.0,0,41,50,12
345,Hat,Legendary,Prime,DEX,Flat,1.0,0,51,70,14
346,Hat,Legendary,Prime,DEX,Flat,1.0,0,71,90,16
347,Hat,Legendary,Prime,DEX,Flat,1.0,0,91,300,18
348,Hat,Legendary,Prime,INT,Flat,1.0,0,0,20,8
349,Hat,Legendary,Prime,INT,Flat,1.0,0,21,40,10
350,Hat,Legendary,Prime,INT,Flat,1.0,0,41,50,12
351,Hat,Legendary,Prime,INT,Flat,1.0,0,51,70,14
352,Hat,Legendary,Prime,INT,Flat,1.0,0,71,90,16
353,Hat,Legendary,Prime,INT,Flat,1.0,0,91,300,18
354,Hat,Legendary,Prime,LUK,Flat,1.0,0,0,20,8
355,Hat,Legendary,Prime,LUK,Flat,1.0,0,21,40,10
356,Hat,Legendary,Prime,LUK,Flat,1.0,0,41,50,12
357,Hat,Legendary,Prime,LUK,Flat,1.0,0,51,70,14
358,Hat,Legendary,Prime,LUK,Flat,1.0,0,71,90,16
359,Hat,Legendary,Prime,LUK,Flat,1.0,0,91,300,18
360,Hat,Legendary,Prime,Weapon ATT,Flat,1.0,0,0,20,8
361,Hat,Legendary,Prime,Weapon ATT,Flat,1.0,0,21,50,10
362,Hat,Legendary,Prime,Weapon ATT,Flat,1.0,0,51,90,12
363,Hat,Legendary,Prime,Weapon ATT,Flat,1.0,0,91,300,14
364,Hat,Legendary,Prime,Magic ATT,Flat,1.0,0,0,20,8
365,Hat,Legendary,Prime,Magic ATT,Flat,1.0,0,21,50,10
366,Hat,Legendary,Prime,Magic ATT,Flat,1.0,0,51,90,12
367,Hat,Legendary,Prime,Magic ATT,Flat,1.0,0,91,300,14
368,Hat,Legendary,Prime,DEF,Flat,1.0,0,0,20,20
369,Hat,Legendary,Prime,DEF,Flat,1.0,0,21,50,50
370,Hat,Legendary,Prime,DEF,Flat,1.0,0,51,90,100
371,Hat,Legendary,Prime,DEF,Flat,1.0,0,91,300,200
372,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,0,10,25
373,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,11,20,50
374,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,21,30,75
375,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,31,40,100
376,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,41,50,125
377,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,51,60,150
378,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,61,70,175
379,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,71,80,200
380,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,81,90,225
381,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,91,100,250
382,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,101,110,275
383,Hat,Legendary,Prime,MaxHP,Flat,1.0,0,11,300,300
384,Hat,Legendary,Prime,MaxMP,Flat,1.0,0,0,10,25
385,Hat,Legendary,Prime,MaxMP,Flat,1.0,0,11,20,50
386,Hat,Legendary,Prime,MaxMP,Flat,1.0,0,21,30,75
387,Hat,Legendary,Prime,MaxMP,Flat,1.0,0,31,40,100
