,ClassType,WeaponType,EquipName,EquipLevel,MainStat,SecStat,Atk,MAtk,AS,DEF,HP,MP,AtkSpd
45,NightLord,Charm,Onyx Maple Death Sender Charm,100,8,8,5,0,0,0,0,0,0
46,NightLord,Charm,Maple Treasure Death Sender Charm,110,9,9,6,0,0,0,0,0,0
47,NightLord,Charm,Princess No's Charm,140,14,14,9,0,0,0,0,0,0
48,Kinesis,ChessPiece,Pawn Chess Piece,1,1,1,0,0,0,0,0,0,0
49,Kinesis,ChessPiece,Knight Chess Piece,30,4,4,0,1,0,0,0,0,0
50,Kinesis,ChessPiece,Rook Chess Piece,60,6,6,0,2,0,0,0,0,0
51,Kinesis,ChessPiece,Queen Chess Piece,100,10,10,0,3,0,0,0,0,0
52,Kinesis,ChessPiece,Onyx Maple Queen Chess Piece,100,8,8,0,5,0,0,0,0,0
53,Kinesis,ChessPiece,Maple Treasure Chess Piece,110,10,10,0,7,0,0,0,0,0
54,Kinesis,ChessPiece,Princess No's Oriental King Chess Piece,140,14,14,0,9,0,0,0,0,0
55,Xenon,CoreController,Dual Core Controller,1,0,0,0,0,2,30,0,0,0
56,Xenon,CoreController,Dual Core Controller,10,0,0,0,0,2,150,00,00,0
57,Xenon,CoreController,Quad Core Controller,30,0,0,0,0,2,200,00,00,0
58,Xenon,CoreController,Hexa Core Controller,60,0,0,0,0,2,250,00,00,0
59,Xenon,CoreController,Octa Core Controller,100,0,0,0,0,2,380,00,00,0
60,Xenon,CoreController,Onyx Maple Octo Core Controller,100,0,0,0,0,2,380,00,50,0
61,Xenon,CoreController,Maple Treasure Controller,110,0,0,0,0,3,390,0,50,0
62,Xenon,CoreController,Princess No's Controller,140,0,0,0,0,4,550,00,00,0
63,Shadower,DaggerScabbard,Hidden Shadow,30,4,4,1,0,0,0,0,0,0
64,Shadower,DaggerScabbard,Vanishing Shadow,60,6,6,2,0,0,0,0,0,0
65,Shadower,DaggerScabbard,Slashing Shadow,100,10,10,3,0,0,0,0,0,0
66,Shadower,DaggerScabbard,Onyx Maple Shadow,100,8,8,5,0,0,0,0,0,0
67,Shadower,DaggerScabbard,Maple Treasure Shadow,110,9,9,6,0,0,0,0,0,0
68,Shadower,DaggerScabbard,Princess No's Purple Shadow,140,14,14,9,0,0,0,0,0,0
69,DemonSlayer,DemonAegis,Force Shield of Patience,10,0,0,0,0,0,10,0,0,0
70,DemonSlayer,DemonAegis,Force Shield of Will,30,0,0,0,0,0,30,50,0,0
71,DemonSlayer,DemonAegis,Force Shield of Authority,60,7,7,0,0,0,60,50,0,0
72,DemonSlayer,DemonAegis,Force Shield of Extremes,100,12,12,0,0,0,85,00,0,0
73,DemonSlayer,DemonAegis,Princess No's Accursed Shield,140,17,17,0,0,0,140,68,0,0
74,DemonAvenger,DemonAegis,Force Shield of Patience,10,0,0,0,0,0,10,0,0,0
75,DemonAvenger,DemonAegis,Force Shield of Will,30,0,0,0,0,0,30,50,0,0
76,DemonAvenger,DemonAegis,Force Shield of Authority,60,7,0,0,0,0,60,00,0,0
77,DemonAvenger,DemonAegis,Force Shield of Extremes,100,12,0,0,0,0,85,00,0,0
78,DemonAvenger,DemonAegis,Princess No's Accursed Shield,140,17,0,0,0,0,140,168,0,0
79,Evan,Document,Dragon Master's Records,30,4,4,0,1,0,0,0,0,0
80,Evan,Document,Dragon Master's Research,60,6,6,0,2,0,0,0,0,0
81,Evan,Document,Dragon Master's Legacy,100,10,10,0,3,0,0,0,0,0
82,Evan,Document,Onyx Maple Dragon Master's Legacy,100,8,8,0,5,0,0,0,0,0
83,Evan,Document,Maple Treasure Legacy,110,9,9,0,6,0,0,0,0,0
84,Evan,Document,Princess No's Dragon Legacy,140,14,14,0,9,0,0,0,0,0
85,Kaiser,DragonEssence,Nova's Essence,10,0,0,0,0,2,0,0,0,0
86,Kaiser,DragonEssence,Nova Guardian Essence,30,0,0,0,0,4,10,0,0,0
87,Kaiser,DragonEssence,Nova Justice Essence,60,0,0,0,0,6,20,0,0,0
88,Kaiser,DragonEssence,Nova Truth Essence,100,0,0,0,0,10,30,0,0,0
89,Kaiser,DragonEssence,Nova Onyx Maple Essence,100,0,0,0,0,8,30,0,0,0
90,Kaiser,DragonEssence,Maple Treasure Essence,110,0,0,0,0,9,40,0,0,0
91,Kaiser,DragonEssence,Princess No's Dragon Essence,140,0,0,0,0,14,52,0,0,0
92,Hoyoung,FanTassel,Mano Fan Tassel,10,3,3,0,0,0,0,0,0,0
93,Hoyoung,FanTassel,Lapis Lazuli Fan Tassel,30,4,4,1,0,0,0,0,0,0
94,Hoyoung,FanTassel,Corundum Fan Tassel,60,6,6,2,0,0,0,0,0,0
95,Hoyoung,FanTassel,Moonstone Fan Tassel,100,10,10,3,0,0,0,0,0,0
96,Hoyoung,FanTassel,Onyx Maple Fan Tassel,100,8,8,5,0,0,0,0,0,0
97,Hoyoung,FanTassel,Princess No's Fan Tassel,140,14,14,9,0,0,0,0,0,0
98,Corsairs,FarSight,Eagle Eye,30,4,4,1,0,0,0,0,0,0
99,Corsairs,FarSight,Hawkeye,60,6,6,2,0,0,0,0,0,0
100,Corsairs,FarSight,Falcon Eye,100,10,10,3,0,0,0,0,0,0
101,Corsairs,FarSight,Onyx Maple Falcon Eye,100,8,8,5,0,0,0,0,0,0
102,Corsairs,FarSight,Maple Treasure Falcon Eye,110,9,9,6,0,0,0,0,0,0
103,Corsairs,FarSight,Princess No's Falcon Eye,140,14,14,9,0,0,0,0,0,0
104,Shade,FoxMarble,Blue Fox Marble,20,3,3,0,0,0,0,0,0,0
105,Shade,FoxMarble,Green Fox Marble,30,4,4,1,0,0,0,0,0,0
106,Shade,FoxMarble,Red Fox Marble,60,6,6,2,0,0,0,0,0,0
107,Shade,FoxMarble,Golden Fox Marble,100,10,10,3,0,0,0,0,0,0
108,Shade,FoxMarble,Onyx Maple Fox Marble,100,8,8,5,0,0,0,0,0,0
109,Shade,FoxMarble,Maple Treasure Fox Marble,110,9,9,6,0,0,0,0,0,0
110,Shade,FoxMarble,Princess No's Fox Marble,140,14,14,9,0,0,0,0,0,0
111,DarkKnight,IronChain,Stark Chain,30,4,4,1,0,0,0,0,0,0
112,DarkKnight,IronChain,Dark Chain,60,6,6,2,0,0,0,0,0,0
113,DarkKnight,IronChain,Berserk Chain,100,10,10,3,0,0,0,0,0,0
114,DarkKnight,IronChain,Onyx Maple Chain,100,8,8,5,0,0,0,0,0,0
115,DarkKnight,IronChain,Maple Treasure Chain,110,9,9,6,0,0,0,0,0,0
116,DarkKnight,IronChain,Princess No's Flower Chain,140,14,14,9,0,0,0,0,0,0
117,CygnusKnights,Jewel,Ereve Fragment,30,0,0,1,1,4,0,0,0,0
118,CygnusKnights,Jewel,Ereve Idea,60,0,0,2,2,6,0,0,0,0
119,CygnusKnights,Jewel,Ereve Brilliance,100,0,0,3,3,10,0,0,0,0
120,CygnusKnights,Jewel,Onyx Maple Ereve Brilliance,100,0,0,5,5,8,0,0,0,0
121,CygnusKnights,Jewel,Maple Treasure Ereve Brilliance,110,0,0,6,6,9,0,0,0,0
122,CygnusKnights,Jewel,Princess No's Floral Jewel,140,0,0,9,9,14,0,0,0,0
123,DualBlade,Katara,Raven Horn Shadow Katara,140,10,0,65,0,0,0,0,0,3
124,DualBlade,Katara,AbsoLab Katara,160,40,0,97,0,0,0,0,0,3
125,DualBlade,Katara,Arcane Umbra Katara,200,65,0,140,0,0,0,0,0,3
126,Hayato,Kodachi,White Tiger Blade,10,1,0,0,0,0,0,0,0,0
127,Hayato,Kodachi,Blue Dragon Blade,30,2,0,0,0,0,0,0,0,0
128,Hayato,Kodachi,Lake Monster Blade,60,3,0,1,0,0,0,0,0,0
129,Hayato,Kodachi,Fire Phoenix Blade,100,4,0,2,0,0,0,0,0,0
130,Hayato,Kodachi,Onyx Maple Tiger Blade,100,3,0,2,0,0,0,0,0,0
131,Hayato,Kodachi,Maple Treasure Kodachi,110,3,0,2,0,0,0,0,0,0
132,Hayato,Kodachi,Princess No's Wakizashi,140,17,17,9,0,0,0,0,0,0
133,Illium,LucentWings,Basic Lucent Wings,1,1,1,0,0,0,0,0,0,0
134,Illium,LucentWings,Core Lucent Wings,30,4,4,0,1,0,0,0,0,0
135,Illium,LucentWings,Holy Lucent Wings,60,6,6,0,2,0,0,0,0,0
136,Illium,LucentWings,Glory Lucent Wings,100,10,10,0,3,0,0,0,0,0
137,Illium,LucentWings,Onyx Maple Lucent Wings,100,8,8,0,5,0,0,0,0,0
138,Illium,LucentWings,Princess No's Lucent Wings,140,14,14,0,9,0,0,0,0,0
139,Mercedes,MagicArrow,Magic Arrows,10,0,0,0,0,0,0,0,0,0
140,Mercedes,MagicArrow,Sharp Magic Arrows,30,0,0,0,0,0,0,0,0,0
141,Mercedes,MagicArrow,Eternal Magic Arrows,60,0,0,0,0,0,0,0,0,0
142,Mercedes,MagicArrow,Infinite Magic Arrows,100,0,0,0,0,0,0,0,0,0
143,Mercedes,MagicArrow,Onyx Maple Magic Arrows,100,8,8,0,0,0,0,0,0,0
144,Mercedes,MagicArrow,Maple Treasure Magic Arrows,110,9,9,0,0,0,0,0,0,0
145,Mercedes,MagicArrow,Princess No's Accursed Arrow,140,14,14,0,0,0,0,0,0,0
146,"Magician(Fire,Poison)",MagicBook,Rusty Book <Strophe>,30,4,4,0,1,0,0,0,0,0
147,"Magician(Fire,Poison)",MagicBook,Rusty Book <Antistrophe>,60,6,6,0,2,0,0,0,0,0
148,"Magician(Fire,Poison)",MagicBook,Rusty Book <Epode>,100,10,10,0,3,0,0,0,0,0
149,"Magician(Fire,Poison)",MagicBook,Onyx Maple Rusty Book,100,8,8,0,5,0,0,0,0,0
150,"Magician(Fire,Poison)",MagicBook,Maple Treasure Rusty Book,110,9,9,0,6,0,0,0,0,0
151,"Magician(Fire,Poison)",MagicBook,Princess No's Flaming Book,140,14,14,0,9,0,0,0,0,0
152,"Magician(Ice,Lightning)",MagicBook,Metallic Blue Book <Strophe>,30,4,4,0,1,0,0,0,0,0
153,"Magician(Ice,Lightning)",MagicBook,Metallic Blue Book <Antistrophe>,60,6,6,0,2,0,0,0,0,0
154,"Magician(Ice,Lightning)",MagicBook,Metallic Blue Book <Epode>,100,10,10,0,3,0,0,0,0,0
155,"Magician(Ice,Lightning)",MagicBook,Onyx Maple Metallic Book,100,8,8,0,5,0,0,0,0,0
156,"Magician(Ice,Lightning)",MagicBook,Maple Treasure Metallic Book,110,9,9,0,6,0,0,0,0,0
157,"Magician(Ice,Lightning)",MagicBook,Princess No's Damp Book,140,14,14,0,9,0,0,0,0,0
158,Bishop,MagicBook,White Gold Book <Strophe>,30,4,4,0,1,0,0,0,0,0
159,Bishop,MagicBook,White Gold Book <Antistrophe>,60,6,6,0,2,0,0,0,0,0
160,Bishop,MagicBook,White Gold Book <Epode>,100,10,10,0,3,0,0,0,0,0
161,Bishop,MagicBook,Onyx Maple White Gold Book,100,8,8,0,5,0,0,0,0,0
162,Bishop,MagicBook,Maple Treasure White Gold Book,110,9,9,0,6,0,0,0,0,0
163,Bishop,MagicBook,Princess No's Golden Book,140,14,14,0,9,0,0,0,0,0
164,BattleMage,MagicMarble,Equalizer Ball,30,4,4,0,1,0,0,0,0,0
165,BattleMage,MagicMarble,Energizer Ball,60,6,6,0,2,0,0,0,0,0
166,BattleMage,MagicMarble,Maximizer Ball,100,10,10,0,3,0,0,0,0,0
167,BattleMage,MagicMarble,Onyx Maple Maximizer Ball,100,8,8,0,5,0,0,0,0,0
168,BattleMage,MagicMarble,Maple Treasure Equalizer Ball,110,9,9,0,6,0,0,0,0,0
169,BattleMage,MagicMarble,Princess No's Accursed Marble,140,14,14,0,9,0,0,0,0,0
170,Mechanic,Magnum,Magnum,10,3,0,0,0,0,0,0,0,0
171,Mechanic,Magnum,Split Magnum,30,4,0,0,0,0,0,0,0,0
172,Mechanic,Magnum,Vital Magnum,60,7,0,0,0,0,0,0,0,0
173,Mechanic,Magnum,Eternal Magnum,100,10,0,0,0,0,0,0,0,0
174,Mechanic,Magnum,Onyx Maple Magnum,100,8,8,0,0,0,0,0,0,0
175,Mechanic,Magnum,Maple Treasure Magnum,110,9,9,0,0,0,0,0,0,0
176,Mechanic,Magnum,Princess No's Magnum,140,14,14,0,0,0,0,0,0,0
177,Aran,Mass,Silver Beast Mass,30,4,4,1,0,0,0,0,0,0
178,Aran,Mass,Phoenix Mass,60,6,6,2,0,0,0,0,0,0
179,Aran,Mass,Dragon Mass,100,10,10,3,0,0,0,0,0,0
180,Aran,Mass,Onyx Maple Dragon Mass,100,8,8,5,0,0,0,0,0,0
181,Aran,Mass,Maple Treasure Dragon Mass,110,9,9,6,0,0,0,0,0,0
182,Aran,Mass,Princess No's Flower Ballast,140,14,14,9,0,0,0,0,0,0
183,Heroes,Medallion,Powers Medallion,30,4,4,1,0,0,0,0,0,0
184,Heroes,Medallion,Orders Medallion,60,6,6,2,0,0,0,0,0,0
185,Heroes,Medallion,Virtues Medallion,100,10,10,3,0,0,0,0,0,0
186,Heroes,Medallion,Onyx Maple Medal,100,8,8,5,0,0,0,0,0,0
187,Heroes,Medallion,Maple Treasure Medal,110,9,9,6,0,0,0,0,0,0
188,Heroes,Medallion,Princess No's Medal,140,14,14,9,0,0,0,0,0,0
189,Luminous,Orb,Light Orb,10,0,0,0,0,0,0,0,0,0
190,Luminous,Orb,Shining Orb,30,0,0,0,0,0,0,0,0,0
191,Luminous,Orb,Twinkling Orb,60,0,0,0,0,0,0,0,0,0
192,Luminous,Orb,Karma Orb,100,0,0,0,0,0,0,0,0,0
193,Luminous,Orb,Onyx Maple Orb,100,8,8,0,0,0,0,0,0,0
194,Luminous,Orb,Maple Treasure Orb,110,9,9,0,0,0,0,0,0,0
195,Luminous,Orb,Princess No's Soul Orb,140,14,14,0,0,0,0,0,0,0
196,Lara,Ornament,Simple Four-Jade Ornament,10,3,3,0,0,0,0,0,0,0
197,Lara,Ornament,Subtle Four-Jade Ornament,30,4,4,0,1,0,0,0,0,0
198,Lara,Ornament,Flashy Four-Jade Ornament,60,6,6,0,2,0,0,0,0,0
199,Lara,Ornament,Radiant Four-Jade Ornament,100,10,10,0,3,0,0,0,0,0
200,Lara,Ornament,Immortal Four-Jade Ornament,140,14,14,0,9,0,0,0,0,0
201,Cannoneers,PowderKeg,Pin Fire Bomb,30,4,4,1,0,0,0,0,0,0
202,Cannoneers,PowderKeg,Rim Fire Bomb,60,6,6,2,0,0,0,0,0,0
203,Cannoneers,PowderKeg,Center Fire Bomb,100,10,10,3,0,0,0,0,0,0
204,Cannoneers,PowderKeg,Onyx Maple Center Fire Bomb,100,8,8,5,0,0,0,0,0,0
205,Cannoneers,PowderKeg,Maple Treasure Center Fire Bomb,110,9,9,6,0,0,0,0,0,0
206,Cannoneers,PowderKeg,Princess No's Fire Bomb,140,14,14,9,0,0,0,0,0,0
207,Pathfinder,Relic,Potential Relic,10,3,3,0,0,0,0,0,0,0
208,Pathfinder,Relic,Awakened Relic,30,4,4,1,0,0,0,0,0,0
209,Pathfinder,Relic,Trine Relic,60,6,6,2,0,0,0,0,0,0
210,Pathfinder,Relic,Perfect Relic,100,10,10,3,0,0,0,0,0,0
211,Pathfinder,Relic,Onyx Maple Relic,100,8,8,5,0,0,0,0,0,0
212,Pathfinder,Relic,Princess No's Immortal Relic,140,14,14,9,0,0,0,0,0,0
213,Paladin,Rosary,Holy Rosary,30,4,4,1,0,0,0,0,0,0
214,Paladin,Rosary,Divine Rosary,60,6,6,2,0,0,0,0,0,0
215,Paladin,Rosary,Sacred Rosary,100,10,10,3,0,0,0,0,0,0
216,Paladin,Rosary,Onyx Maple Rosary,100,8,8,5,0,0,0,0,0,0
217,Paladin,Rosary,Maple Treasure Rosary,110,9,9,6,0,0,0,0,0,0
218,Paladin,Rosary,Princess No's Rosary,140,14,14,9,0,0,0,0,0,0
219,Warrior,Shield,Blue Dragon Shield,110,7,4,0,0,0,78,0,0,0
220,Warrior,Shield,VIP Warrior Shield,127,12,10,0,0,0,150,0,0,0
221,Warrior,Shield,Deimos Warrior Shield,130,10,10,0,0,0,118,0,0,0
222,Warrior,Shield,Terminus Defender,160,13,13,0,0,0,153,0,0,0
223,Magician,Shield,VIP Magician Shield,127,10,4,0,0,0,110,0,0,0
224,Magician,Shield,Deimos Sage Shield,130,10,0,0,0,0,71,0,0,0
225,Thief,Shield,Dragon Khanjar,120,2,0,15,0,0,5,0,0,0
226,Thief,Shield,VIP Thief Shield,127,4,10,0,0,0,134,0,0,0
227,Thief,Shield,Deimos Shadow Shield,130,10,0,0,0,0,99,0,0,0
228,AngelicBuster,SoulRing,Pink Soul Ring,10,0,0,0,0,2,100,00,0,0
229,AngelicBuster,SoulRing,Purple Soul Ring,30,0,0,0,0,4,150,00,0,0
230,AngelicBuster,SoulRing,Blue Soul Ring,60,0,0,0,0,6,200,00,0,0
231,AngelicBuster,SoulRing,Green Soul Ring,100,0,0,0,0,10,300,00,0,0
232,AngelicBuster,SoulRing,Onyx Maple Soul Ring,100,0,0,0,0,8,275,00,0,0
233,AngelicBuster,SoulRing,Maple Treasure Soul Ring,110,0,0,0,0,9,280,0,0,0
234,AngelicBuster,SoulRing,Princess No's Soul Ring,140,0,0,0,0,14,475,1382,0,0
235,Mihile,SoulShields,Soul Shield of Protection,10,0,0,0,0,0,10,0,0,0
236,Mihile,SoulShields,Soul Shield of Pride,30,0,0,0,0,0,30,50,0,0
237,Mihile,SoulShields,Soul Shield of Courage,60,7,7,0,0,0,60,50,0,0
238,Mihile,SoulShields,Soul Shield of Justice,100,12,12,0,0,0,85,00,10,0
239,Mihile,SoulShields,Onyx Maple Soul Shield,100,10,10,0,0,0,81,60,00,0
240,Mihile,SoulShields,Maple Treasure Soul Shield,110,11,11,0,0,0,0,60,00,0
241,Mihile,SoulShields,Princess No's Soul Shield,140,18,18,0,0,0,120,1000,00,0
242,Cadena,WarpForge,Transmitter Type-D,10,3,3,0,0,0,0,0,0,0
243,Cadena,WarpForge,Transmitter Type-C,30,4,4,1,0,0,0,0,0,0
244,Cadena,WarpForge,Transmitter Type-B,60,6,6,2,0,0,0,0,0,0
245,Cadena,WarpForge,Transmitter Type-A,100,10,10,3,0,0,0,0,0,0
246,Cadena,WarpForge,Onyx Maple Transmitter,100,8,8,5,0,0,0,0,0,0
247,Cadena,WarpForge,Princess No's Transmitter,140,14,14,9,0,0,0,0,0,0
248,Kain,WeaponBelt,D Basic Weapon Belt,10,3,3,0,0,0,0,0,0,0
249,Kain,WeaponBelt,D30A Weapon Belt,30,4,4,1,0,0,0,0,0,0
250,Kain,WeaponBelt,D60 Advanced Weapon Belt,60,6,6,2,0,0,0,0,0,0
251,Kain,WeaponBelt,D100 Custom Weapon Belt,100,10,10,3,0,0,0,0,0,0
252,Kain,WeaponBelt,Onyx Maple D100 Weapon Belt,100,8,8,5,0,0,0,0,0,0
253,Kain,WeaponBelt,Princess No's Immortal Weapon Belt,140,14,14,9,0,0,0,0,0,0
254,BeastTamer,Whistle,Tiny Whisper,10,2,0,0,1,0,0,0,0,0
255,BeastTamer,Whistle,Friend's Whisper,30,4,4,0,1,0,0,0,0,0
256,BeastTamer,Whistle,Tutelary Whisper,60,6,6,0,2,0,0,0,0,0
257,BeastTamer,Whistle,Mother Nature Whisper,100,10,10,0,5,0,0,0,0,0
258,BeastTamer,Whistle,Onyx Maple Whisper,100,8,8,0,5,0,0,0,0,0
259,BeastTamer,Whistle,Maple Treasure Whistle,110,17,17,0,9,0,0,0,0,0
260,BeastTamer,Whistle,Princess No's Magical Whisper,140,17,17,0,9,0,0,0,0,0
261,Buccaneers,WristBand,Wrist Band,30,4,4,1,0,0,0,0,0,0
262,Buccaneers,WristBand,Wrist Guard,60,6,6,2,0,0,0,0,0,0
263,Buccaneers,WristBand,Wrist Armor,100,10,10,3,0,0,0,0,0,0
264,Buccaneers,WristBand,Onyx Maple Wrist Armor,100,8,8,5,0,0,0,0,0,0
265,Buccaneers,WristBand,Maple Treasure Wrist Armor,110,9,9,6,0,0,0,0,0,0
266,Buccaneers,WristBand,Princess No's Skull Armor,140,14,14,9,0,0,0,0,0,0
