,ClassName,WeaponType,EquipName,EquipLevel,STR,DEX,INT,LUK,AllStat,HP,MP,DEF,ATK,MATK,AtkSpd
46,Night Lord,Charm,Maple Treasure Death Sender Charm,110,0,9,0,9,0,0,0,0,6,0,0
47,Night Lord,Charm,Princess No's Charm,140,0,14,0,14,0,0,0,0,9,0,0
48,Kinesis,Chess Piece,Pawn Chess Piece,1,0,0,1,1,0,0,0,0,0,0,0
49,Kinesis,Chess Piece,Knight Chess Piece,30,0,0,4,4,0,0,0,0,0,1,0
50,Kinesis,Chess Piece,Rook Chess Piece,60,0,0,6,6,0,0,0,0,0,2,0
51,Kinesis,Chess Piece,Queen Chess Piece,100,0,0,10,10,0,0,0,0,0,3,0
52,Kinesis,Chess Piece,Onyx Maple Queen Chess Piece,100,0,0,8,8,0,0,0,0,0,5,0
53,Kinesis,Chess Piece,Maple Treasure Chess Piece,110,0,0,10,10,0,0,0,0,0,7,0
54,Kinesis,Chess Piece,Princess No's Oriental King Chess Piece,140,0,0,14,14,0,0,0,0,0,9,0
55,Xenon,Core Controller,Dual Core Controller,1,0,0,0,0,2,0,0,30,0,0,0
56,Xenon,Core Controller,Dual Core Controller,10,0,0,0,0,2,300,0,150,0,0,0
57,Xenon,Core Controller,Quad Core Controller,30,0,0,0,0,2,500,0,200,0,0,0
58,Xenon,Core Controller,Hexa Core Controller,60,0,0,0,0,2,700,0,250,0,0,0
59,Xenon,Core Controller,Octa Core Controller,100,0,0,0,0,2,900,0,380,0,0,0
60,Xenon,Core Controller,Onyx Maple Octo Core Controller,100,0,0,0,0,2,800,50,380,0,0,0
61,Xenon,Core Controller,Maple Treasure Controller,110,0,0,0,0,3,0,50,390,0,0,0
62,Xenon,Core Controller,Princess No's Controller,140,0,0,0,0,4,600,0,550,0,0,0
63,Shadower,Dagger Scabbard,Hidden Shadow,30,0,4,0,4,0,0,0,0,1,0,0
64,Shadower,Dagger Scabbard,Vanishing Shadow,60,0,6,0,6,0,0,0,0,2,0,0
65,Shadower,Dagger Scabbard,Slashing Shadow,100,0,10,0,10,0,0,0,0,3,0,0
66,Shadower,Dagger Scabbard,Onyx Maple Shadow,100,0,8,0,8,0,0,0,0,5,0,0
67,Shadower,Dagger Scabbard,Maple Treasure Shadow,110,0,9,0,9,0,0,0,0,6,0,0
68,Shadower,Dagger Scabbard,Princess No's Purple Shadow,140,0,14,0,14,0,0,0,0,9,0,0
69,Demon Slayer,Demon Aegis,Force Shield of Patience,10,0,0,0,0,0,0,0,10,0,0,0
70,Demon Slayer,Demon Aegis,Force Shield of Will,30,0,0,0,0,0,150,0,30,0,0,0
71,Demon Slayer,Demon Aegis,Force Shield of Authority,60,7,7,0,0,0,350,0,60,0,0,0
72,Demon Slayer,Demon Aegis,Force Shield of Extremes,100,12,12,0,0,0,600,0,85,0,0,0
73,Demon Slayer,Demon Aegis,Princess No's Accursed Shield,140,17,17,0,0,0,968,0,140,0,0,0
74,Demon Avenger,Demon Aegis,Force Shield of Patience,10,0,0,0,0,0,0,0,10,0,0,0
75,Demon Avenger,Demon Aegis,Force Shield of Will,30,0,0,0,0,0,150,0,30,0,0,0
76,Demon Avenger,Demon Aegis,Force Shield of Authority,60,7,0,0,0,0,400,0,60,0,0,0
77,Demon Avenger,Demon Aegis,Force Shield of Extremes,100,12,0,0,0,0,700,0,85,0,0,0
78,Demon Avenger,Demon Aegis,Princess No's Accursed Shield,140,17,0,0,0,0,1168,0,140,0,0,0
79,Evan,Document,Dragon Master's Records,30,0,0,4,4,0,0,0,0,0,1,0
80,Evan,Document,Dragon Master's Research,60,0,0,6,6,0,0,0,0,0,2,0
81,Evan,Document,Dragon Master's Legacy,100,0,0,10,10,0,0,0,0,0,3,0
82,Evan,Document,Onyx Maple Dragon Master's Legacy,100,0,0,8,8,0,0,0,0,0,5,0
83,Evan,Document,Maple Treasure Legacy,110,0,0,9,9,0,0,0,0,0,6,0
84,Evan,Document,Princess No's Dragon Legacy,140,0,0,14,14,0,0,0,0,0,9,0
85,Kaiser,Dragon Essence,Nova's Essence,10,0,0,0,0,2,0,0,0,0,0,0
86,Kaiser,Dragon Essence,Nova Guardian Essence,30,0,0,0,0,4,0,0,10,0,0,0
87,Kaiser,Dragon Essence,Nova Justice Essence,60,0,0,0,0,6,0,0,20,0,0,0
88,Kaiser,Dragon Essence,Nova Truth Essence,100,0,0,0,0,10,0,0,30,0,0,0
89,Kaiser,Dragon Essence,Nova Onyx Maple Essence,100,0,0,0,0,8,0,0,30,0,0,0
90,Kaiser,Dragon Essence,Maple Treasure Essence,110,0,0,0,0,9,0,0,40,0,0,0
91,Kaiser,Dragon Essence,Princess No's Dragon Essence,140,0,0,0,0,14,0,0,52,0,0,0
92,Hoyoung,Fan Tassel,Mano Fan Tassel,10,0,3,0,3,0,0,0,0,0,0,0
93,Hoyoung,Fan Tassel,Lapis Lazuli Fan Tassel,30,0,4,0,4,0,0,0,0,1,0,0
94,Hoyoung,Fan Tassel,Corundum Fan Tassel,60,0,6,0,6,0,0,0,0,2,0,0
95,Hoyoung,Fan Tassel,Moonstone Fan Tassel,100,0,10,0,10,0,0,0,0,3,0,0
96,Hoyoung,Fan Tassel,Onyx Maple Fan Tassel,100,0,8,0,8,0,0,0,0,5,0,0
97,Hoyoung,Fan Tassel,Princess No's Fan Tassel,140,0,14,0,14,0,0,0,0,9,0,0
98,Corsairs,Far Sight,Eagle Eye,30,4,4,0,0,0,0,0,0,1,0,0
99,Corsairs,Far Sight,Hawkeye,60,6,6,0,0,0,0,0,0,2,0,0
100,Corsairs,Far Sight,Falcon Eye,100,10,10,0,0,0,0,0,0,3,0,0
101,Corsairs,Far Sight,Onyx Maple Falcon Eye,100,8,8,0,0,0,0,0,0,5,0,0
102,Corsairs,Far Sight,Maple Treasure Falcon Eye,110,9,9,0,0,0,0,0,0,6,0,0
103,Corsairs,Far Sight,Princess No's Falcon Eye,140,14,14,0,0,0,0,0,0,9,0,0
104,Shade,Fox Marble,Blue Fox Marble,20,3,3,0,0,0,0,0,0,0,0,0
105,Shade,Fox Marble,Green Fox Marble,30,4,4,0,0,0,0,0,0,1,0,0
106,Shade,Fox Marble,Red Fox Marble,60,6,6,0,0,0,0,0,0,2,0,0
107,Shade,Fox Marble,Golden Fox Marble,100,10,10,0,0,0,0,0,0,3,0,0
108,Shade,Fox Marble,Onyx Maple Fox Marble,100,8,8,0,0,0,0,0,0,5,0,0
109,Shade,Fox Marble,Maple Treasure Fox Marble,110,9,9,0,0,0,0,0,0,6,0,0
110,Shade,Fox Marble,Princess No's Fox Marble,140,14,14,0,0,0,0,0,0,9,0,0
111,Dark Knight,Iron Chain,Stark Chain,30,4,4,0,0,0,0,0,0,1,0,0
112,Dark Knight,Iron Chain,Dark Chain,60,6,6,0,0,0,0,0,0,2,0,0
113,Dark Knight,Iron Chain,Berserk Chain,100,10,10,0,0,0,0,0,0,3,0,0
114,Dark Knight,Iron Chain,Onyx Maple Chain,100,8,8,0,0,0,0,0,0,5,0,0
115,Dark Knight,Iron Chain,Maple Treasure Chain,110,9,9,0,0,0,0,0,0,6,0,0
116,Dark Knight,Iron Chain,Princess No's Flower Chain,140,14,14,0,0,0,0,0,0,9,0,0
117,Cygnus Knights,Jewel,Ereve Fragment,30,0,0,0,0,4,0,0,0,1,1,0
118,Cygnus Knights,Jewel,Ereve Idea,60,0,0,0,0,6,0,0,0,2,2,0
119,Cygnus Knights,Jewel,Ereve Brilliance,100,0,0,0,0,10,0,0,0,3,3,0
120,Cygnus Knights,Jewel,Onyx Maple Ereve Brilliance,100,0,0,0,0,8,0,0,0,5,5,0
121,Cygnus Knights,Jewel,Maple Treasure Ereve Brilliance,110,0,0,0,0,9,0,0,0,6,6,0
122,Cygnus Knights,Jewel,Princess No's Floral Jewel,140,0,0,0,0,14,0,0,0,9,9,0
123,Dual Blade,Katara,Utgard Katara,140,0,0,0,0,0,0,0,0,63,0,3
124,Dual Blade,Katara,Fafnir Rapid Edge,150,0,0,0,30,0,0,0,0,81,0,3
125,Dual Blade,Katara,AbsoLab Katara,160,0,0,0,40,0,0,0,0,97,0,3
126,Dual Blade,Katara,Arcane Umbra Katara,200,0,0,0,65,0,0,0,0,140,0,3
127,Hayato,Kodachi,White Tiger Blade,10,1,0,0,0,0,0,0,0,0,0,0
128,Hayato,Kodachi,Blue Dragon Blade,30,2,0,0,0,0,0,0,0,0,0,0
129,Hayato,Kodachi,Lake Monster Blade,60,3,0,0,0,0,0,0,0,1,0,0
130,Hayato,Kodachi,Fire Phoenix Blade,100,4,0,0,0,0,0,0,0,2,0,0
131,Hayato,Kodachi,Onyx Maple Tiger Blade,100,3,0,0,0,0,0,0,0,2,0,0
132,Hayato,Kodachi,Maple Treasure Kodachi,110,3,0,0,0,0,0,0,0,2,0,0
133,Hayato,Kodachi,Princess No's Wakizashi,140,17,17,0,0,0,0,0,0,9,0,0
134,Illium,Lucent Wings,Basic Lucent Wings,1,0,0,1,1,0,0,0,0,0,0,0
135,Illium,Lucent Wings,Core Lucent Wings,30,0,0,4,4,0,0,0,0,0,1,0
136,Illium,Lucent Wings,Holy Lucent Wings,60,0,0,6,6,0,0,0,0,0,2,0
137,Illium,Lucent Wings,Glory Lucent Wings,100,0,0,10,10,0,0,0,0,0,3,0
138,Illium,Lucent Wings,Onyx Maple Lucent Wings,100,0,0,8,8,0,0,0,0,0,5,0
139,Illium,Lucent Wings,Princess No's Lucent Wings,140,0,0,14,14,0,0,0,0,0,9,0
140,Mercedes,Magic Arrow,Magic Arrows,10,0,0,0,0,0,0,0,0,0,0,0
141,Mercedes,Magic Arrow,Sharp Magic Arrows,30,0,0,0,0,0,0,0,0,0,0,0
142,Mercedes,Magic Arrow,Eternal Magic Arrows,60,0,0,0,0,0,0,0,0,0,0,0
143,Mercedes,Magic Arrow,Infinite Magic Arrows,100,0,0,0,0,0,0,0,0,0,0,0
144,Mercedes,Magic Arrow,Onyx Maple Magic Arrows,100,8,8,0,0,0,0,0,0,0,0,0
145,Mercedes,Magic Arrow,Maple Treasure Magic Arrows,110,9,9,0,0,0,0,0,0,0,0,0
146,Mercedes,Magic Arrow,Princess No's Accursed Arrow,140,14,14,0,0,0,0,0,0,0,0,0
147,Fire Poison,Magic Book,Rusty Book <Strophe>,30,0,0,4,4,0,0,0,0,0,1,0
148,Fire Poison,Magic Book,Rusty Book <Antistrophe>,60,0,0,6,6,0,0,0,0,0,2,0
149,Fire Poison,Magic Book,Rusty Book <Epode>,100,0,0,10,10,0,0,0,0,0,3,0
150,Fire Poison,Magic Book,Onyx Maple Rusty Book,100,0,0,8,8,0,0,0,0,0,5,0
151,Fire Poison,Magic Book,Maple Treasure Rusty Book,110,0,0,9,9,0,0,0,0,0,6,0
152,Fire Poison,Magic Book,Princess No's Flaming Book,140,0,0,14,14,0,0,0,0,0,9,0
153,Ice Lightning,Magic Book,Metallic Blue Book <Strophe>,30,0,0,4,4,0,0,0,0,0,1,0
154,Ice Lightning,Magic Book,Metallic Blue Book <Antistrophe>,60,0,0,6,6,0,0,0,0,0,2,0
155,Ice Lightning,Magic Book,Metallic Blue Book <Epode>,100,0,0,10,10,0,0,0,0,0,3,0
156,Ice Lightning,Magic Book,Onyx Maple Metallic Book,100,0,0,8,8,0,0,0,0,0,5,0
157,Ice Lightning,Magic Book,Maple Treasure Metallic Book,110,0,0,9,9,0,0,0,0,0,6,0
158,Ice Lightning,Magic Book,Princess No's Damp Book,140,0,0,14,14,0,0,0,0,0,9,0
159,Bishop,Magic Book,White Gold Book <Strophe>,30,0,0,4,4,0,0,0,0,0,1,0
160,Bishop,Magic Book,White Gold Book <Antistrophe>,60,0,0,6,6,0,0,0,0,0,2,0
161,Bishop,Magic Book,White Gold Book <Epode>,100,0,0,10,10,0,0,0,0,0,3,0
162,Bishop,Magic Book,Onyx Maple White Gold Book,100,0,0,8,8,0,0,0,0,0,5,0
163,Bishop,Magic Book,Maple Treasure White Gold Book,110,0,0,9,9,0,0,0,0,0,6,0
164,Bishop,Magic Book,Princess No's Golden Book,140,0,0,14,14,0,0,0,0,0,9,0
165,Battle Mage,Magic Marble,Equalizer Ball,30,0,0,4,4,0,0,0,0,0,1,0
166,Battle Mage,Magic Marble,Energizer Ball,60,0,0,6,6,0,0,0,0,0,2,0
167,Battle Mage,Magic Marble,Maximizer Ball,100,0,0,10,10,0,0,0,0,0,3,0
168,Battle Mage,Magic Marble,Onyx Maple Maximizer Ball,100,0,0,8,8,0,0,0,0,0,5,0
169,Battle Mage,Magic Marble,Maple Treasure Equalizer Ball,110,0,0,9,9,0,0,0,0,0,6,0
170,Battle Mage,Magic Marble,Princess No's Accursed Marble,140,0,0,14,14,0,0,0,0,0,9,0
171,Mechanic,Magnum,Magnum,10,0,3,0,0,0,0,0,0,0,0,0
172,Mechanic,Magnum,Split Magnum,30,0,4,0,0,0,0,0,0,0,0,0
173,Mechanic,Magnum,Vital Magnum,60,0,7,0,0,0,0,0,0,0,0,0
174,Mechanic,Magnum,Eternal Magnum,100,0,10,0,0,0,0,0,0,0,0,0
175,Mechanic,Magnum,Onyx Maple Magnum,100,8,8,0,0,0,0,0,0,0,0,0
176,Mechanic,Magnum,Maple Treasure Magnum,110,9,9,0,0,0,0,0,0,0,0,0
177,Mechanic,Magnum,Princess No's Magnum,140,14,14,0,0,0,0,0,0,0,0,0
178,Aran,Mass,Silver Beast Mass,30,4,4,0,0,0,0,0,0,1,0,0
179,Aran,Mass,Phoenix Mass,60,6,6,0,0,0,0,0,0,2,0,0
180,Aran,Mass,Dragon Mass,100,10,10,0,0,0,0,0,0,3,0,0
181,Aran,Mass,Onyx Maple Dragon Mass,100,8,8,0,0,0,0,0,0,5,0,0
182,Aran,Mass,Maple Treasure Dragon Mass,110,9,9,0,0,0,0,0,0,6,0,0
183,Aran,Mass,Princess No's Flower Ballast,140,14,14,0,0,0,0,0,0,9,0,0
184,Heroes,Medallion,Powers Medallion,30,4,4,0,0,0,0,0,0,1,0,0
185,Heroes,Medallion,Orders Medallion,60,6,6,0,0,0,0,0,0,2,0,0
186,Heroes,Medallion,Virtues Medallion,100,10,10,0,0,0,0,0,0,3,0,0
187,Heroes,Medallion,Onyx Maple Medal,100,8,8,0,0,0,0,0,0,5,0,0
188,Heroes,Medallion,Maple Treasure Medal,110,9,9,0,0,0,0,0,0,6,0,0
189,Heroes,Medallion,Princess No's Medal,140,14,14,0,0,0,0,0,0,9,0,0
190,Luminous,Orb,Light Orb,10,0,0,0,0,0,0,0,0,0,0,0
191,Luminous,Orb,Shining Orb,30,0,0,0,0,0,0,0,0,0,0,0
192,Luminous,Orb,Twinkling Orb,60,0,0,0,0,0,0,0,0,0,0,0
193,Luminous,Orb,Karma Orb,100,0,0,0,0,0,0,0,0,0,0,0
194,Luminous,Orb,Onyx Maple Orb,100,0,0,8,8,0,0,0,0,0,0,0
195,Luminous,Orb,Maple Treasure Orb,110,0,0,9,9,0,0,0,0,0,0,0
196,Luminous,Orb,Princess No's Soul Orb,140,0,0,14,14,0,0,0,0,0,0,0
197,Lara,Ornament,Simple Four-Jade Ornament,10,0,0,3,3,0,0,0,0,0,0,0
198,Lara,Ornament,Subtle Four-Jade Ornament,30,0,0,4,4,0,0,0,0,0,1,0
199,Lara,Ornament,Flashy Four-Jade Ornament,60,0,0,6,6,0,0,0,0,0,2,0
200,Lara,Ornament,Radiant Four-Jade Ornament,100,0,0,10,10,0,0,0,0,0,3,0
201,Lara,Ornament,Immortal Four-Jade Ornament,140,0,0,14,14,0,0,0,0,0,9,0
202,Cannoneers,Powder Keg,Pin Fire Bomb,30,4,4,0,0,0,0,0,0,1,0,0
203,Cannoneers,Powder Keg,Rim Fire Bomb,60,6,6,0,0,0,0,0,0,2,0,0
204,Cannoneers,Powder Keg,Center Fire Bomb,100,10,10,0,0,0,0,0,0,3,0,0
205,Cannoneers,Powder Keg,Onyx Maple Center Fire Bomb,100,8,8,0,0,0,0,0,0,5,0,0
206,Cannoneers,Powder Keg,Maple Treasure Center Fire Bomb,110,9,9,0,0,0,0,0,0,6,0,0
207,Cannoneers,Powder Keg,Princess No's Fire Bomb,140,14,14,0,0,0,0,0,0,9,0,0
208,Pathfinder,Relic,Potential Relic,10,3,3,0,0,0,0,0,0,0,0,0
209,Pathfinder,Relic,Awakened Relic,30,4,4,0,0,0,0,0,0,1,0,0
210,Pathfinder,Relic,Trine Relic,60,6,6,0,0,0,0,0,0,2,0,0
211,Pathfinder,Relic,Perfect Relic,100,10,10,0,0,0,0,0,0,3,0,0
212,Pathfinder,Relic,Onyx Maple Relic,100,8,8,0,0,0,0,0,0,5,0,0
213,Pathfinder,Relic,Princess No's Immortal Relic,140,14,14,0,0,0,0,0,0,9,0,0
214,Paladin,Rosary,Holy Rosary,30,4,4,0,0,0,0,0,0,1,0,0
215,Paladin,Rosary,Divine Rosary,60,6,6,0,0,0,0,0,0,2,0,0
216,Paladin,Rosary,Sacred Rosary,100,10,10,0,0,0,0,0,0,3,0,0
217,Paladin,Rosary,Onyx Maple Rosary,100,8,8,0,0,0,0,0,0,5,0,0
218,Paladin,Rosary,Maple Treasure Rosary,110,9,9,0,0,0,0,0,0,6,0,0
219,Paladin,Rosary,Princess No's Rosary,140,14,14,0,0,0,0,0,0,9,0,0
220,Warrior,Shield,Blue Dragon Shield,110,7,4,0,0,0,0,0,78,0,0,0
221,Warrior,Shield,VIP Warrior Shield,127,12,10,0,0,0,0,0,150,0,0,0
222,Warrior,Shield,Deimos Warrior Shield,130,10,10,0,0,0,0,0,118,0,0,0
223,Warrior,Shield,Terminus Defender,160,13,13,0,0,0,0,0,153,0,0,0
224,Magician,Shield,VIP Magician Shield,127,0,0,10,4,0,0,0,110,0,0,0
225,Magician,Shield,Deimos Sage Shield,130,0,0,10,0,0,0,0,71,0,0,0
226,Thief,Shield,Dragon Khanjar,120,0,0,0,2,0,0,0,5,15,0,0
227,Thief,Shield,VIP Thief Shield,127,0,4,0,10,0,0,0,134,0,0,0
228,Thief,Shield,Deimos Shadow Shield,130,0,0,0,10,0,0,0,99,0,0,0
229,Angelic Buster,Soul Ring,Pink Soul Ring,10,0,0,0,0,2,300,0,100,0,0,0
230,Angelic Buster,Soul Ring,Purple Soul Ring,30,0,0,0,0,4,500,0,150,0,0,0
231,Angelic Buster,Soul Ring,Blue Soul Ring,60,0,0,0,0,6,700,0,200,0,0,0
232,Angelic Buster,Soul Ring,Green Soul Ring,100,0,0,0,0,10,900,0,300,0,0,0
233,Angelic Buster,Soul Ring,Onyx Maple Soul Ring,100,0,0,0,0,8,800,0,275,0,0,0
234,Angelic Buster,Soul Ring,Maple Treasure Soul Ring,110,0,0,0,0,9,0,0,280,0,0,0
235,Angelic Buster,Soul Ring,Princess No's Soul Ring,140,0,0,0,0,14,1382,0,475,0,0,0
236,Mihile,Soul Shields,Soul Shield of Protection,10,0,0,0,0,0,0,0,10,0,0,0
237,Mihile,Soul Shields,Soul Shield of Pride,30,0,0,0,0,0,150,0,30,0,0,0
238,Mihile,Soul Shields,Soul Shield of Courage,60,7,7,0,0,0,350,0,60,0,0,0
239,Mihile,Soul Shields,Soul Shield of Justice,100,12,12,0,0,0,600,10,85,0,0,0
240,Mihile,Soul Shields,Onyx Maple Soul Shield,100,10,10,0,0,0,560,0,81,0,0,0
241,Mihile,Soul Shields,Maple Treasure Soul Shield,110,11,11,0,0,0,560,0,0,0,0,0
242,Mihile,Soul Shields,Princess No's Soul Shield,140,18,18,0,0,0,1000,0,120,0,0,0
243,Cadena,Warp Forge,Transmitter Type-D,10,0,3,0,3,0,0,0,0,0,0,0
244,Cadena,Warp Forge,Transmitter Type-C,30,0,4,0,4,0,0,0,0,1,0,0
245,Cadena,Warp Forge,Transmitter Type-B,60,0,6,0,6,0,0,0,0,2,0,0
246,Cadena,Warp Forge,Transmitter Type-A,100,0,10,0,10,0,0,0,0,3,0,0
247,Cadena,Warp Forge,Onyx Maple Transmitter,100,0,8,0,8,0,0,0,0,5,0,0
248,Cadena,Warp Forge,Princess No's Transmitter,140,0,14,0,14,0,0,0,0,9,0,0
249,Kain,Weapon Belt,D Basic Weapon Belt,10,3,3,0,0,0,0,0,0,0,0,0
250,Kain,Weapon Belt,D30A Weapon Belt,30,4,4,0,0,0,0,0,0,1,0,0
251,Kain,Weapon Belt,D60 Advanced Weapon Belt,60,6,6,0,0,0,0,0,0,2,0,0
252,Kain,Weapon Belt,D100 Custom Weapon Belt,100,10,10,0,0,0,0,0,0,3,0,0
253,Kain,Weapon Belt,Onyx Maple D100 Weapon Belt,100,8,8,0,0,0,0,0,0,5,0,0
254,Kain,Weapon Belt,Princess No's Immortal Weapon Belt,140,14,14,0,0,0,0,0,0,9,0,0
262,Buccaneers,Wrist Band,Wrist Band,30,4,4,0,0,0,0,0,0,1,0,0
263,Buccaneers,Wrist Band,Wrist Guard,60,6,6,0,0,0,0,0,0,2,0,0
264,Buccaneers,Wrist Band,Wrist Armor,100,10,10,0,0,0,0,0,0,3,0,0
265,Buccaneers,Wrist Band,Onyx Maple Wrist Armor,100,8,8,0,0,0,0,0,0,5,0,0
266,Buccaneers,Wrist Band,Maple Treasure Wrist Armor,110,9,9,0,0,0,0,0,0,6,0,0
267,Buccaneers,Wrist Band,Princess No's Skull Armor,140,14,14,0,0,0,0,0,0,9,0,0
